Time,Dist,V_Sat,HHMM,Lat_dez,Lon_dez,MMDD,SSHH,A_Lat,A_Lon,Banking,YawRate,SpAccu,LapGps,LapAdc,V_Front,V_Rear,Vext,ACC_X,ACC_Y,ACC_Z,Temp,SUSP_F,SUSP_R,BRAKE_F,BRAKE_R,ValidSatCalc,Acc_lat_G_gps,Acc_Lon_G_gps,V_rear_calc,Pack_Current41,Pack_Inst_Voltage42,Pack_SOC43,Relay_State,CRC_Checksum45,Pack_DCL,Pack_CCL,High_Temperature48,Low_Temperature49,CRC_Checksum,Pack_SOC,Adaptive_SOC,Current_Limits_Status,Adaptive_Total_Capacity,Ready_Power_Signal,Charge_Power_Signal,Discharge_Relay,Charge_Relay,Balancing_Active,Pack_Current,Pack_Inst_Voltage,Input_Supply_Voltage,Pack_kW_Power,Low_Cell_Voltage,High_Cell_Voltage,Avg_Cell_Voltage,High_Temperature,High_Thermistor_ID,Low_Temperature,Low_Thermistor_ID,Average_Temperature,Internal_Temperature,CellId,CellVoltage,CellResistance,CellOpenVoltage,Checksum,CellBalancing,IMD_Status,IMD_Ok,IMD_Resistance,SV_Target_Id,SV_Target_Iq,SV_Id,SV_Iq,SV_Ud,SV_Uq,SV_Voltage_Modulation,SV_Capacitor_Voltage,SV_Max_pow_limit_torque,SV_Battery_Current,SV_Junction_Teemp,SV_Heatsink_temp,SV_profile_forward,SV_Motor_Temperature,SV_Max_Fluxing_Current,SV_Torque_Demand,SV_Torque_value,SV_RPM,SV_Throttle_value,SV_Throttle_Voltage,PUMP_mode109,PUMP_setpoint,PUMP_PWM_freq,PUMP_x0,PUMP_y0,PUMP_x1,PUMP_y1,PUMP_x2,PUMP_y2,PUMP_x3,PUMP_y3,TEMP_Ambient,FAN_mode,PUMP_mode,PUMP_value,EVENTTRG,CNT_VFro,CNT_RPM,CNT_VRea,CPU_LOAD,TEMP_CoolerIN,TEMP_CoolerOUT,TEMP_Transmission,ValidSat,GPSValid,Longitude,Latitude,Altitude,V_GPS,Course,GPS_Yaw,Radius,Curvature,A_Lon_GPS,A_Lat_GPS,Banking_GPS,Time2D,SOD,Time diff,TDiff window,Win change,Meter diff,MDiff window
527.04,9857,137.82,14.36,41.0777559,-69.6935954,10.14,45.82,-32.77,-32.77,0,0,0,7966964,65472,145.5,143.0,11.81,-2.8,1.4,-0.51,35.1,25.72,24.4,0.0,0,16,65533,-3,-1,257.1,102.7,84.5,67,1912,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3165,0.0,289.438,1456.875,288,4079.88,30.81,83.2,102.19,120.0,270.5,67,50,9,93,18.0,95.88,52.81,4059,32.0,4.09,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,0.0,10474.58,0,10048.42,58.31,32.2,31.4,48.0,2.6,1,-0.1969009,41.0777781,365.6,138.2,309.79,-0.09,-588.8,0.0,0.78,-0.06,0.36,1911.76,47719.84,0,0,0,0,0
527.2,9864,138.3,14.36,41.0777914,-69.6936516,10.14,45.97,-32.77,-32.77,0,0,0,4705529,65472,145.5,141.5,11.81,-1.3,1.3,-0.29,35.1,26.25,24.35,0.0,0,16,65533,-3,-1,254.7,102.9,84.5,67,1889,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3165,0.0,286.063,1542.313,280,4079.44,31.25,84.77,102.25,120.0,266.75,67,50,9,93,18.0,95.88,52.13,4071,32.0,4.09,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,0.0,10481.04,0,10054.69,60.61,32.2,31.4,48.0,2.6,1,-0.1969572,41.0778135,365.62,138.6,309.76,-0.17,-3276.8,0.0,0.76,-0.11,0.65,1911.92,47720.0,0,0,0,0,0
527.36,9870,138.69,14.36,41.0778268,-69.6937079,10.14,46.14,-32.77,-32.77,0,0,0,2323273,65472,146.0,143.0,11.81,-3.0,1.0,-0.7,35.1,26.46,23.86,0.0,0,16,65533,-3,-1,254.3,102.9,84.5,67,1885,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3176,0.0,285.688,3066.688,288,4080.94,30.81,82.03,102.31,120.0,265.38,66,50,9,93,18.0,95.88,52.06,4082,32.0,4.1,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,0.0,10487.54,0,10061.08,56.06,32.2,31.4,48.1,2.6,1,-0.1970137,41.0778491,365.62,139.1,309.73,-0.27,-3276.8,0.0,0.69,-0.18,1.04,1912.08,47720.16,0,0,0,0,0
527.52,9876,139.19,14.36,41.0778624,-69.6937646,10.14,46.3,-32.77,-32.77,0,0,0,822657,65472,146.5,143.5,11.81,-1.7,1.1,-0.65,35.1,27.79,24.27,0.0,0,16,65533,-3,-1,250.7,102.8,84.5,67,1849,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3176,0.0,280.438,599.813,276,4080.0,31.13,83.59,102.38,120.0,263.06,66,50,9,94,18.0,95.88,51.0,4094,32.0,4.09,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,0.0,10494.08,0,10067.43,58.35,32.2,31.4,48.1,2.6,1,-0.1970704,41.0778846,365.64,139.4,309.69,-0.15,-3276.8,0.0,0.67,-0.1,0.6,1912.24,47720.32,0,0,0,0,0
527.68,9882,139.52,14.36,41.077898,-69.6938213,10.14,46.46,-32.77,-32.77,0,0,0,216946,65472,147.0,144.0,11.81,-2.5,1.1,-0.73,35.1,27.69,23.88,0.0,0,16,65533,-3,-1,247.0,103.1,84.5,67,1813,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3176,0.0,276.625,1544.063,275,4080.25,31.13,82.81,102.44,120.0,259.75,66,50,9,94,18.0,95.88,50.31,4104,32.0,4.1,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,0.0,10500.57,0,10073.85,59.55,32.2,31.4,48.1,2.6,1,-0.1971273,41.0779203,365.63,139.8,309.67,-0.26,-3276.8,0.0,0.58,-0.18,1.03,1912.4,47720.48,0,0,0,0,0
527.84,9888,139.86,14.36,41.0779337,-69.6938782,10.14,46.62,-32.77,-32.77,0,0,0,376370,65472,147.0,145.0,11.81,-2.3,1.3,-0.41,35.1,27.44,24.17,0.0,0,16,65533,-3,-1,247.3,102.9,84.5,67,1816,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3176,0.0,275.5,2984.625,278,4082.31,30.94,81.25,102.44,120.0,257.31,66,50,9,94,18.0,95.88,50.19,4114,32.0,4.07,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,0.0,10507.15,0,10080.27,58.68,32.2,31.4,48.1,2.6,1,-0.1971843,41.077956,365.67,140.1,309.61,-0.16,-3276.8,0.0,0.65,-0.11,0.63,1912.56,47720.64,0,0,0,0,0
528.0,9895,140.23,14.36,41.0779694,-69.6939354,10.14,46.78,-32.77,-32.77,0,0,0,1333788672,65472,147.5,142.5,11.81,-3.0,0.9,-1.18,35.1,27.37,24.0,0.0,0,16,65533,-3,-1,248.3,102.9,84.5,67,1825,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3176,0.0,276.375,1027.938,286,4081.56,30.5,80.47,102.44,120.0,257.19,66,50,9,94,18.0,95.88,50.25,4122,32.0,4.06,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,0.64,10513.68,0,10086.66,60.0,32.2,31.4,48.1,2.6,1,-0.1972416,41.0779919,365.67,140.6,309.61,-0.02,-3276.8,0.0,0.61,-0.02,0.1,1912.72,47720.8,0,0,0,0,0
528.16,9901,140.63,14.36,41.0780053,-69.6939926,10.14,46.94,-32.77,-32.77,0,0,0,2147483647,65472,148.0,144.5,11.81,-2.3,1.3,-0.28,35.1,27.31,23.55,0.0,0,16,65533,-3,-1,252.5,102.9,84.5,67,1867,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3176,0.0,280.375,519.625,279,4080.19,31.31,83.2,102.31,120.0,260.25,65,50,9,94,18.0,95.88,51.0,4135,32.0,4.03,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,28.25,10520.29,0,10093.04,57.36,32.2,31.3,48.1,2.6,1,-0.1972989,41.0780278,365.67,140.8,309.6,-0.07,-3276.8,0.0,0.62,-0.05,0.28,1912.88,47720.96,0,0,0,0,0
528.32,9907,140.89,14.36,41.0780413,-69.69405,10.14,47.1,-32.77,-32.77,0,0,0,2147483647,65472,148.5,145.5,11.81,-1.9,0.9,-1.34,35.1,27.06,24.66,0.0,0,16,65533,-3,-1,251.3,102.9,84.5,67,1855,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3176,0.0,279.0,1614.688,280,4080.94,31.31,83.2,102.31,120.0,261.81,66,50,9,94,18.0,95.88,50.75,4145,32.0,4.03,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,0.03,10526.87,0,10099.54,59.78,32.2,31.4,48.1,2.6,1,-0.1973564,41.0780638,365.69,141.3,309.59,-0.05,-3276.8,0.0,0.6,-0.03,0.2,1913.04,47721.12,0,0,0,0,0
528.48,9913,141.4,14.36,41.0780772,-69.6941076,10.14,47.26,-32.77,-32.77,0,0,0,2147483647,65472,148.5,146.5,11.81,-2.4,1.2,-0.23,35.1,27.03,23.79,0.0,0,16,65533,-3,-1,252.8,102.9,84.5,67,1869,600,120,28,22,1911,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3176,0.0,279.563,1969.5,279,4081.5,31.19,82.42,102.31,120.0,262.25,66,50,9,94,18.0,95.88,50.81,4154,32.0,4.04,2,80,0,29,10,30,20,45,40,60,80,65517,0,2,80,81.28,10533.48,0,10106.0,59.54,32.2,31.3,48.1,2.6,1,-0.197414,41.0780998,365.7,141.5,309.59,-0.03,-3276.8,0.0,0.58,-0.02,0.11,1913.2,47721.28,0,0,0,0,0
