Time,Dist,V_Sat,HHMM,Lat_dez,Lon_dez,MMDD,SSHH,A_Lat,A_Lon,Banking,YawRate,SpAccu,LapGps,LapAdc,V_Front,V_Rear,Vext,ACC_X,ACC_Y,ACC_Z,Temp,SUSP_F,SUSP_R,BRAKE_F,BRAKE_R,ValidSatCalc,Acc_lat_G_gps,Acc_Lon_G_gps,V_rear_calc,Pack_Current41,Pack_Inst_Voltage42,Pack_SOC43,Relay_State,CRC_Checksum45,Pack_DCL,Pack_CCL,High_Temperature48,Low_Temperature49,CRC_Checksum,Pack_SOC,Adaptive_SOC,Current_Limits_Status,Adaptive_Total_Capacity,Ready_Power_Signal,Charge_Power_Signal,Discharge_Relay,Charge_Relay,Balancing_Active,Pack_Current,Pack_Inst_Voltage,Input_Supply_Voltage,Pack_kW_Power,Low_Cell_Voltage,High_Cell_Voltage,Avg_Cell_Voltage,High_Temperature,High_Thermistor_ID,Low_Temperature,Low_Thermistor_ID,Average_Temperature,Internal_Temperature,CellId,CellVoltage,CellResistance,CellOpenVoltage,Checksum,CellBalancing,IMD_Status,IMD_Ok,IMD_Resistance,SV_Target_Id,SV_Target_Iq,SV_Id,SV_Iq,SV_Ud,SV_Uq,SV_Voltage_Modulation,SV_Capacitor_Voltage,SV_Max_pow_limit_torque,SV_Battery_Current,SV_Junction_Teemp,SV_Heatsink_temp,SV_profile_forward,SV_Motor_Temperature,SV_Max_Fluxing_Current,SV_Torque_Demand,SV_Torque_value,SV_RPM,SV_Throttle_value,SV_Throttle_Voltage,PUMP_mode109,PUMP_setpoint,PUMP_PWM_freq,PUMP_x0,PUMP_y0,PUMP_x1,PUMP_y1,PUMP_x2,PUMP_y2,PUMP_x3,PUMP_y3,TEMP_Ambient,FAN_mode,PUMP_mode,PUMP_value,EVENTTRG,CNT_VFro,CNT_RPM,CNT_VRea,CPU_LOAD,TEMP_CoolerIN,TEMP_CoolerOUT,TEMP_Transmission,ValidSat,GPSValid,Longitude,Latitude,Altitude,V_GPS,Course,GPS_Yaw,Radius,Curvature,A_Lon_GPS,A_Lat_GPS,Banking_GPS,Time2D,SOD,Time diff,TDiff window,Win change,Meter diff,MDiff window
s,      m,Km/h,     ,    deg,    deg,    ,    ,m/s²,  m/s²,      °,    °/s,  km/h,      ,   Dig,km/h,km/h,V,m/s²,m/s²,m/s²,°C,mm,mm,bar,bar,,G,G,,Amps,Volts,Percen,,,Amps,Amps,Celsiu,Celsiu,,Percen,Percen,,Amphou,,,,,,Amps,Volts,Volts,kW,Volts,Volts,Volts,Celsiu,ID,Celsiu,ID,Celsiu,Celsiu,#,Volts,mOhms,Volts,,,,,Ohm,A,A,A,A,V,V,,V,,A,°C,°C,,°C,,Nm,Nm,rpm,,V,,,,,,,,,,,,°C,,,,,m,revs,m,%,°C,°C,°C,,,deg,deg,m,km/h,deg,deg/s,m,m,m/s²,m/s²,deg,*s,s,sec,sec,sec/sec,m,m
0,0,0.19,6.5,41.0785145,-69.6955567,10.15,40.25,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,-0.1,-2.51,30.6,0.77,7.7,0,0,14,65533,-3,-1,0,116.6,99.5,67,1804,467,11,21,16,1911,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65506,0,2,80,0,0,0,0,54.29,7.7,7.6,19,2.37,1,-0.1988272,41.0785145,370.09,0.3,12.46,0,0,0,-0.05,0,0,0.08,25006.66,0,0,0,0,0
0.16,0,0.36,6.5,41.0785146,-69.6955567,10.15,40.42,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,0,-2.41,30.6,0.78,7.7,0,0,14,65533,-3,-1,0,116.6,99.5,67,1804,467,11,21,16,1911,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65506,0,2,80,0,0,0,0,54.78,7.7,7.6,19,2.38,1,-0.1988271,41.0785146,370.08,0.2,12.46,0,0,0,-0.11,0,0,0.24,25006.82,0,0,0,0,0
0.32,0,0.13,6.5,41.0785145,-69.6955568,10.15,40.58,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,-0.1,-2.45,30.6,0.78,7.7,0,0,13,65533,-3,-1,0,116.6,99.5,67,1804,467,10,21,16,1910,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65506,0,2,80,0,0,0,0,53.31,7.7,7.6,19,2.35,1,-0.1988272,41.0785145,370.07,0.1,12.46,0,0,0,-0.07,0,0,0.4,25006.98,0,0,0,0,0
0.48,0,0.13,6.5,41.0785146,-69.6955568,10.15,40.74,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,-0.1,-2.36,30.6,0.77,7.7,0,0,14,65533,-3,-1,0,116.6,99.5,67,1804,467,11,21,16,1911,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65506,0,2,80,0,0,0,0,53.42,7.7,7.6,19,2.4,1,-0.1988273,41.0785145,370.05,0.1,12.46,0,0,0,0,0,0,0.56,25007.14,0,0,0,0,0
0.64,0,0.19,6.5,41.0785144,-69.6955569,10.15,40.9,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,-0.1,-2.45,30.6,0.78,7.7,0,0,14,65533,-3,-1,0,116.6,99.5,67,1804,467,11,21,16,1911,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65506,0,2,80,0,0,0,0,53.55,7.7,7.6,19,2.4,1,-0.1988272,41.0785145,370.04,0.2,12.46,0,0,0,0.03,0,0,0.72,25007.3,0,0,0,0,0
0.8,0,0.11,6.5,41.0785145,-69.6955568,10.15,41.06,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,0,-2.35,30.6,0.77,7.7,0,0,13,65533,-3,-1,0,116.6,99.5,67,1804,467,11,21,16,1911,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65506,0,2,80,0,0,0,0,53.61,7.7,7.6,19,2.32,1,-0.1988273,41.0785144,370.02,0.2,12.46,0,0,0,0.07,0,0,0.88,25007.46,0,0,0,0,0
0.96,0,0.19,6.5,41.0785143,-69.6955569,10.15,41.22,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,-0.1,-2.39,30.6,0.78,7.7,0,0,13,65533,-3,-1,0,116.6,99.5,67,1804,467,11,21,16,1911,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65506,0,2,80,0,0,0,0,54.41,7.7,7.6,19,2.3,1,-0.1988273,41.0785143,370.01,0.3,12.46,0,0,0,0.04,0,0,1.04,25007.62,0,0,0,0,0
1.12,0,0.34,6.5,41.0785142,-69.6955571,10.15,41.38,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,-0.1,-2.34,30.6,0.77,7.7,0,0,13,65533,-3,-1,0,116.6,99.5,67,1804,467,10,21,16,1910,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65507,0,2,80,0,0,0,0,52.46,7.7,7.6,19,2.3,1,-0.1988275,41.0785141,369.99,0.2,12.47,0,0,0,-0.02,0,0,1.2,25007.78,0,0,0,0,0
1.28,0,0.14,6.5,41.0785141,-69.6955571,10.15,41.54,-32.77,-32.77,0,0,0,2147483647,65472,0,0,11.82,-3.3,-0.1,-2.39,30.6,0.78,7.7,0,0,13,65533,-3,-1,0,116.6,99.5,67,1804,467,10,21,16,1910,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,29,10,30,20,45,40,60,80,65507,0,2,80,0,0,0,0,54.35,7.7,7.6,19,2.3,1,-0.1988275,41.0785141,369.97,0.2,12.52,0,0,0,-0.02,0,0,1.36,25007.94,0,0,0,0,0
