Time,Dist,V_Sat,HHMM,Lat_dez,Lon_dez,MMDD,SSHH,A_Lat,A_Lon,Banking,YawRate,SpAccu,LapGps,LapAdc,V_Front,V_Rear,Vext,ACC_X,ACC_Y,ACC_Z,Temp,SUSP_F,SUSP_R,BRAKE_F,BRAKE_R,ValidSatCalc,Acc_lat_G_gps,Acc_Lon_G_gps,V_rear_calc,Pack_Current41,Pack_Inst_Voltage42,Pack_SOC43,Relay_State,CRC_Checksum45,Pack_DCL,Pack_CCL,High_Temperature48,Low_Temperature49,CRC_Checksum,Pack_SOC,Adaptive_SOC,Current_Limits_Status,Adaptive_Total_Capacity,Ready_Power_Signal,Charge_Power_Signal,Discharge_Relay,Charge_Relay,Balancing_Active,Pack_Current,Pack_Inst_Voltage,Input_Supply_Voltage,Pack_kW_Power,Low_Cell_Voltage,High_Cell_Voltage,Avg_Cell_Voltage,High_Temperature,High_Thermistor_ID,Low_Temperature,Low_Thermistor_ID,Average_Temperature,Internal_Temperature,CellId,CellVoltage,CellResistance,CellOpenVoltage,Checksum,CellBalancing,IMD_Status,IMD_Ok,IMD_Resistance,SV_Target_Id,SV_Target_Iq,SV_Id,SV_Iq,SV_Ud,SV_Uq,SV_Voltage_Modulation,SV_Capacitor_Voltage,SV_Max_pow_limit_torque,SV_Battery_Current,SV_Junction_Teemp,SV_Heatsink_temp,SV_profile_forward,SV_Motor_Temperature,SV_Max_Fluxing_Current,SV_Torque_Demand,SV_Torque_value,SV_RPM,SV_Throttle_value,SV_Throttle_Voltage,PUMP_mode109,PUMP_setpoint,PUMP_PWM_freq,PUMP_x0,PUMP_y0,PUMP_x1,PUMP_y1,PUMP_x2,PUMP_y2,PUMP_x3,PUMP_y3,TEMP_Ambient,FAN_mode,PUMP_mode,PUMP_value,EVENTTRG,CNT_VFro,CNT_RPM,CNT_VRea,CPU_LOAD,TEMP_CoolerIN,TEMP_CoolerOUT,TEMP_Transmission,ValidSat,GPSValid,Longitude,Latitude,Altitude,V_GPS,Course,GPS_Yaw,Radius,Curvature,A_Lon_GPS,A_Lat_GPS,Banking_GPS,Time2D,SOD,Time diff,TDiff window,Win change,Meter diff,MDiff window
1200.0,30106,133.72,13.49,41.0785618,-69.6948772,10.15,21.61,-32.77,-32.77,0,0,0,1870659583,65472,140.0,134.0,11.81,-2.9,0.4,-1.66,33.6,30.59,22.9,0.0,0,16,65533,-3,-1,149.4,100.6,84.5,4161,1847,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3084,0.0,186.063,1988.25,183,4084.19,27.63,73.05,100.31,120.0,158.19,65,57,9,105,12.0,19.31,19.25,4516,6.51,2.28,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,52.87,31620.99,0,31347.09,57.23,36.7,35.0,66.9,2.6,1,-0.1981955,41.0785914,374.47,133.6,309.36,-0.27,3276.7,0.0,-0.29,-0.18,1.03,1200.08,49761.63,0,0,0,0,0
1200.16,30112,133.53,13.49,41.0785956,-69.6949319,10.15,21.77,-32.77,-32.77,0,0,0,2147483647,65472,140.5,136.5,11.81,-3.9,0.3,-1.28,33.5,30.57,22.27,0.0,0,16,65533,-3,-1,154.0,100.6,84.5,4161,1892,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3084,0.0,190.313,1681.188,182,4082.31,28.25,77.34,100.13,120.0,158.44,64,56,9,105,12.0,19.88,19.75,4514,6.68,2.3,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,0.02,31627.23,0,31353.13,57.04,36.7,35.0,66.9,2.6,1,-0.1982501,41.0786252,374.47,133.4,309.35,0.26,3276.7,0.0,-0.16,0.17,-0.98,1200.24,49761.79,0,0,0,0,0
1200.32,30118,133.39,13.49,41.0786294,-69.6949864,10.15,21.93,-32.77,-32.77,0,0,0,2147483647,65472,140.5,135.0,11.81,-1.9,0.3,-1.36,33.5,30.62,22.65,0.0,0,16,65533,-3,-1,155.1,100.7,84.5,4161,1904,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3084,0.0,190.625,3506.813,189,4084.06,27.75,73.44,100.13,120.0,160.44,64,56,9,104,12.0,19.75,19.75,4515,6.61,2.29,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,81.28,31633.5,0,31359.18,56.91,36.7,35.0,66.9,2.6,1,-0.1983046,41.078659,374.48,133.4,309.43,0.45,3276.7,0.0,-0.04,0.29,-1.71,1200.4,49761.95,0,0,0,0,0
1200.48,30124,133.43,13.49,41.0786633,-69.6950411,10.15,22.09,-32.77,-32.77,0,0,0,2147483647,65472,140.0,134.5,11.81,-2.4,0.2,-1.22,33.5,30.64,22.77,0.0,0,16,65533,-3,-1,144.8,100.7,84.5,4161,1802,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3084,0.0,181.125,1458.125,182,4083.88,27.63,73.44,100.25,120.0,157.63,65,57,9,104,12.0,18.69,18.75,4514,6.22,2.25,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,0.0,31639.77,0,31365.15,57.29,36.7,35.0,66.9,2.6,1,-0.1983591,41.078693,374.48,133.4,309.51,0.51,3276.7,0.0,-0.08,0.33,-1.95,1200.56,49762.11,0,0,0,0,0
1200.64,30130,133.41,13.49,41.0786972,-69.6950954,10.15,22.25,-32.77,-32.77,0,0,0,2147483647,65472,140.5,134.5,11.81,-2.7,0.2,-1.37,33.5,30.64,22.53,0.0,0,16,65533,-3,-1,140.8,100.8,84.5,4161,1761,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3084,0.0,177.688,7.75,177,4084.25,27.38,72.66,100.31,120.0,150.38,64,57,9,104,12.0,18.31,18.44,4509,6.12,2.24,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,0.0,31645.97,0,31371.12,58.02,36.7,35.0,66.9,2.6,1,-0.1984135,41.078727,374.47,133.3,309.59,0.47,3276.7,0.0,-0.09,0.3,-1.78,1200.72,49762.27,0,0,0,0,0
1200.8,30136,133.31,13.49,41.0787312,-69.6951499,10.15,22.41,-32.77,-32.77,0,0,0,2147483647,65472,140.0,133.5,11.81,-2.6,0.1,-1.35,33.5,30.65,22.5,0.0,0,16,65533,-3,-1,140.5,100.8,84.5,4161,1760,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3083,0.0,176.188,973.125,174,4083.75,27.25,72.27,100.31,120.0,146.88,65,57,9,104,12.0,18.44,18.19,4507,6.21,2.25,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,0.0,31652.24,0,31377.08,56.78,36.7,35.0,66.9,2.6,1,-0.1984678,41.078761,374.46,133.3,309.67,0.41,3276.7,0.0,-0.07,0.27,-1.55,1200.88,49762.43,0,0,0,0,0
1200.96,30142,133.29,13.49,41.0787652,-69.6952041,10.15,22.57,-32.77,-32.77,0,0,0,2147483647,65472,140.5,136.0,11.81,-2.8,0.3,-1.36,33.6,30.67,22.39,0.0,0,16,65533,-3,-1,148.9,100.7,84.5,4161,1841,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3083,0.0,184.875,3207.813,188,4084.56,27.13,72.27,100.13,120.0,150.5,64,56,9,105,12.0,19.31,19.13,4508,6.5,2.28,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,0.0,31658.47,0,31383.13,57.02,36.7,34.9,66.9,2.6,1,-0.198522,41.078795,374.46,133.3,309.73,0.34,3276.7,0.0,-0.03,0.22,-1.29,1201.04,49762.59,0,0,0,0,0
1201.12,30148,133.27,13.49,41.0787993,-69.6952584,10.15,22.73,-32.77,-32.77,0,0,0,2147483647,65472,140.0,135.5,11.81,-2.7,0.1,-1.46,33.5,30.7,22.42,0.0,0,16,65533,-3,-1,147.3,100.7,84.5,4161,1827,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3083,0.0,184.0,2999.0,199,4085.69,26.69,69.92,100.19,120.0,154.44,65,57,9,104,12.0,19.06,19.06,4507,6.37,2.27,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,0.0,31664.74,0,31389.14,57.24,36.7,34.9,66.9,2.6,1,-0.1985761,41.0788291,374.45,133.3,309.78,0.25,3276.7,0.0,-0.05,0.16,-0.95,1201.2,49762.75,0,0,0,0,0
1201.28,30154,133.22,13.49,41.0788334,-69.6953125,10.15,22.89,-32.77,-32.77,0,0,0,2147483647,65472,140.0,134.0,11.81,-3.0,0.2,-1.09,33.5,30.81,22.57,0.0,0,16,65533,-3,-1,144.4,100.8,84.5,4161,1798,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3084,0.0,180.313,963.125,194,4085.5,26.56,69.53,100.31,120.0,152.44,65,57,9,104,12.0,18.75,18.69,4506,6.3,2.26,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,0.0,31670.94,0,31395.14,57.27,36.7,34.9,66.9,2.6,1,-0.1986303,41.0788632,374.44,133.2,309.81,0.2,3276.7,0.0,-0.08,0.13,-0.74,1201.36,49762.91,0,0,0,0,0
1201.44,30159,133.2,13.49,41.0788675,-69.6953666,10.15,23.05,-32.77,-32.77,0,0,0,2147483647,65472,140.5,135.0,11.81,-1.2,0.3,-1.11,33.6,30.88,22.71,0.0,0,16,65533,-3,-1,143.2,100.8,84.5,4161,1786,600,120,45,29,1934,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3084,0.0,179.625,1778.063,197,4086.19,26.25,68.36,100.19,120.0,150.63,64,57,9,105,12.0,18.5,18.63,4505,6.21,2.25,2,80,0,29,10,30,20,45,40,60,80,65515,2,2,80,0.0,31677.21,0,31401.11,55.44,36.7,34.9,66.9,2.6,1,-0.1986842,41.0788973,374.44,133.1,309.84,0.18,3276.7,0.0,-0.06,0.11,-0.66,1201.52,49763.07,0,0,0,0,0
